loss,root_mean_squared_error
0.014641386456787586,0.12100159376859665
0.0166209377348423,0.1289222091436386
0.004472016356885433,0.06687313318252563
0.007019997574388981,0.08378542214632034
0.011737240478396416,0.10833854228258133
0.011234565638005733,0.10599323362112045
0.004980374593287706,0.07057177275419235
0.0008796612382866442,0.029659083113074303
0.0006503540789708495,0.0255020409822464
0.0006490933592431247,0.02547731064260006
0.0005465529393404722,0.023378470912575722
0.0004907898837700486,0.02215377800166607
0.0004741210723295808,0.021774321794509888
0.0004376255674287677,0.020919501781463623
0.00041699360008351505,0.020420420914888382
0.0004038363113068044,0.02009567804634571
0.00037131147109903395,0.019269444048404694
0.0003572280693333596,0.01890047825872898
0.0003479155420791358,0.018652494996786118
0.0003606714017223567,0.01899135112762451
